{} STI
{(0,0)(0,1)(1,2)(2,0)} TA
{(0,0)(0,1)(1,1)(1,2)(2,0)} TA
{(0,0)(0,1)(1,0)(1,2)(2,0)} A
{(0,0)(0,1)(1,0)(1,1)(1,2)(2,0)} A
{(1,2)(2,0)(2,1)} IA
{(1,1)(1,2)(2,0)(2,1)} A
{(1,0)(1,2)(2,0)(2,1)} IA
{(1,0)(1,1)(1,2)(2,0)(2,1)} A
{(0,1)(1,2)(2,0)(2,1)} IA
{(0,1)(1,1)(1,2)(2,0)(2,1)} A
{(0,1)(1,0)(1,2)(2,0)(2,1)} IA
{(0,1)(1,0)(1,1)(1,2)(2,0)(2,1)} A
{(0,0)(1,2)(2,0)(2,1)} A
{(0,0)(1,1)(1,2)(2,0)(2,1)} A
{(0,0)(1,0)(1,2)(2,0)(2,1)} A
{(0,0)(1,0)(1,1)(1,2)(2,0)(2,1)} A
{(0,0)(0,1)(1,2)(2,0)(2,1)} A
{(0,0)(0,1)(1,1)(1,2)(2,0)(2,1)} A
{(0,0)(0,1)(1,0)(1,2)(2,0)(2,1)} A
{(0,0)(0,1)(1,0)(1,1)(1,2)(2,0)(2,1)} A
{(2,0)(2,2)} TA
{(1,1)(2,0)(2,2)} TA
{(1,0)(2,0)(2,2)} TA
{(1,0)(1,1)(2,0)(2,2)} TA
{(0,1)(2,0)(2,2)} TA
{(0,1)(1,1)(2,0)(2,2)} TA
{(0,1)(1,0)(2,0)(2,2)} A
{(0,1)(1,0)(1,1)(2,0)(2,2)} A
{(0,0)(2,0)(2,2)} TA
{(0,0)(1,1)(2,0)(2,2)} RTA
{(0,0)(1,0)(2,0)(2,2)} TA
{(0,0)(1,0)(1,1)(2,0)(2,2)} RTA
{(0,0)(0,1)(2,0)(2,2)} TA
{(0,0)(0,1)(1,1)(2,0)(2,2)} RTA
{(0,0)(0,1)(1,0)(2,0)(2,2)} A
{(0,0)(0,1)(1,0)(1,1)(2,0)(2,2)} RTA
{(2,0)(2,1)(2,2)} TA
{(1,1)(2,0)(2,1)(2,2)} TA
{(1,0)(2,0)(2,1)(2,2)} TA
{(1,0)(1,1)(2,0)(2,1)(2,2)} TA
{(0,1)(2,0)(2,1)(2,2)} TA
{(0,1)(1,1)(2,0)(2,1)(2,2)} TA
{(0,1)(1,0)(2,0)(2,1)(2,2)} A
{(0,1)(1,0)(1,1)(2,0)(2,1)(2,2)} A
{(0,0)(2,0)(2,1)(2,2)} TA
{(0,0)(1,1)(2,0)(2,1)(2,2)} RTA
{(0,0)(1,0)(2,0)(2,1)(2,2)} TA
{(0,0)(1,0)(1,1)(2,0)(2,1)(2,2)} RTA
{(0,0)(0,1)(2,0)(2,1)(2,2)} TA
{(0,0)(0,1)(1,1)(2,0)(2,1)(2,2)} RTA
{(0,0)(0,1)(1,0)(2,0)(2,1)(2,2)} A
{(0,0)(0,1)(1,0)(1,1)(2,0)(2,1)(2,2)} RTA
{(1,2)(2,0)(2,2)} TA
{(1,1)(1,2)(2,0)(2,2)} TA
{(1,0)(1,2)(2,0)(2,2)} TA
{(1,0)(1,1)(1,2)(2,0)(2,2)} TA
{(0,1)(1,2)(2,0)(2,2)} TA
{(0,1)(1,1)(1,2)(2,0)(2,2)} TA
{(0,1)(1,0)(1,2)(2,0)(2,2)} A
{(0,1)(1,0)(1,1)(1,2)(2,0)(2,2)} A
{(0,0)(1,2)(2,0)(2,2)} TA
{(0,0)(1,1)(1,2)(2,0)(2,2)} RTA
{(0,0)(1,0)(1,2)(2,0)(2,2)} TA
{(0,0)(1,0)(1,1)(1,2)(2,0)(2,2)} RTA
{(0,0)(0,1)(1,2)(2,0)(2,2)} TA
{(0,0)(0,1)(1,1)(1,2)(2,0)(2,2)} RTA
{(0,0)(0,1)(1,0)(1,2)(2,0)(2,2)} A
{(0,0)(0,1)(1,0)(1,1)(1,2)(2,0)(2,2)} RTA
{(1,2)(2,0)(2,1)(2,2)} A
{(1,1)(1,2)(2,0)(2,1)(2,2)} A
{(1,0)(1,2)(2,0)(2,1)(2,2)} A
{(1,0)(1,1)(1,2)(2,0)(2,1)(2,2)} A
{(0,1)(1,2)(2,0)(2,1)(2,2)} A
{(0,1)(1,1)(1,2)(2,0)(2,1)(2,2)} A
{(0,1)(1,0)(1,2)(2,0)(2,1)(2,2)} A
{(0,1)(1,0)(1,1)(1,2)(2,0)(2,1)(2,2)} A
{(0,0)(1,2)(2,0)(2,1)(2,2)} A
{(0,0)(1,1)(1,2)(2,0)(2,1)(2,2)} RTA
{(0,0)(1,0)(1,2)(2,0)(2,1)(2,2)} A
{(0,0)(1,0)(1,1)(1,2)(2,0)(2,1)(2,2)} RTA
{(0,0)(0,1)(1,2)(2,0)(2,1)(2,2)} A
{(0,0)(0,1)(1,1)(1,2)(2,0)(2,1)(2,2)} RTA
{(0,0)(0,1)(1,0)(1,2)(2,0)(2,1)(2,2)} A
{(0,0)(0,1)(1,0)(1,1)(1,2)(2,0)(2,1)(2,2)} RTA
{(0,2)(2,0)} SI
{(0,2)(1,1)(2,0)} S
{(0,2)(1,0)(2,0)} IA
{(0,2)(1,0)(1,1)(2,0)} A
{(0,1)(0,2)(2,0)} IA
{(0,1)(0,2)(1,1)(2,0)} A
{(0,1)(0,2)(1,0)(2,0)} SI
{(0,1)(0,2)(1,0)(1,1)(2,0)} S
{(0,0)(0,2)(2,0)} S
{(0,0)(0,2)(1,1)(2,0)} S
{(0,0)(0,2)(1,0)(2,0)} A
{(0,0)(0,2)(1,0)(1,1)(2,0)} A
{(0,0)(0,1)(0,2)(2,0)} A
{(0,0)(0,1)(0,2)(1,1)(2,0)} A
{(0,0)(0,1)(0,2)(1,0)(2,0)} S
{(0,0)(0,1)(0,2)(1,0)(1,1)(2,0)} S
{(0,2)(2,0)(2,1)} IA
{(0,2)(1,1)(2,0)(2,1)} A
{(0,2)(1,0)(2,0)(2,1)} IA
{(0,2)(1,0)(1,1)(2,0)(2,1)} A
{(0,1)(0,2)(2,0)(2,1)} IA
{(0,1)(0,2)(1,1)(2,0)(2,1)} A
{(0,1)(0,2)(1,0)(2,0)(2,1)} IA
{(0,1)(0,2)(1,0)(1,1)(2,0)(2,1)} A
{(0,0)(0,2)(2,0)(2,1)} A
{(0,0)(0,2)(1,1)(2,0)(2,1)} A
{(0,0)(0,2)(1,0)(2,0)(2,1)} A
{(0,0)(0,2)(1,0)(1,1)(2,0)(2,1)} A
{(0,0)(0,1)(0,2)(2,0)(2,1)} A
{(0,0)(0,1)(0,2)(1,1)(2,0)(2,1)} A
{(0,0)(0,1)(0,2)(1,0)(2,0)(2,1)} A
{(0,0)(0,1)(0,2)(1,0)(1,1)(2,0)(2,1)} A
{(0,2)(1,2)(2,0)} IA
{(0,2)(1,1)(1,2)(2,0)} A
{(0,2)(1,0)(1,2)(2,0)} IA
{(0,2)(1,0)(1,1)(1,2)(2,0)} A
{(0,1)(0,2)(1,2)(2,0)} IA
{(0,1)(0,2)(1,1)(1,2)(2,0)} A
{(0,1)(0,2)(1,0)(1,2)(2,0)} IA
{(0,1)(0,2)(1,0)(1,1)(1,2)(2,0)} A
{(0,0)(0,2)(1,2)(2,0)} A
{(0,0)(0,2)(1,1)(1,2)(2,0)} A
{(0,0)(0,2)(1,0)(1,2)(2,0)} A
{(0,0)(0,2)(1,0)(1,1)(1,2)(2,0)} A
{(0,0)(0,1)(0,2)(1,2)(2,0)} A
{(0,0)(0,1)(0,2)(1,1)(1,2)(2,0)} A
{(0,0)(0,1)(0,2)(1,0)(1,2)(2,0)} A
{(0,0)(0,1)(0,2)(1,0)(1,1)(1,2)(2,0)} A
{(0,2)(1,2)(2,0)(2,1)} SI
{(0,2)(1,1)(1,2)(2,0)(2,1)} S
{(0,2)(1,0)(1,2)(2,0)(2,1)} IA
{(0,2)(1,0)(1,1)(1,2)(2,0)(2,1)} A
{(0,1)(0,2)(1,2)(2,0)(2,1)} IA
{(0,1)(0,2)(1,1)(1,2)(2,0)(2,1)} A
{(0,1)(0,2)(1,0)(1,2)(2,0)(2,1)} SI
{(0,1)(0,2)(1,0)(1,1)(1,2)(2,0)(2,1)} S
{(0,0)(0,2)(1,2)(2,0)(2,1)} S
{(0,0)(0,2)(1,1)(1,2)(2,0)(2,1)} S
{(0,0)(0,2)(1,0)(1,2)(2,0)(2,1)} A
{(0,0)(0,2)(1,0)(1,1)(1,2)(2,0)(2,1)} A
{(0,0)(0,1)(0,2)(1,2)(2,0)(2,1)} A
{(0,0)(0,1)(0,2)(1,1)(1,2)(2,0)(2,1)} A
{(0,0)(0,1)(0,2)(1,0)(1,2)(2,0)(2,1)} S
{(0,0)(0,1)(0,2)(1,0)(1,1)(1,2)(2,0)(2,1)} S
{(0,2)(2,0)(2,2)} S
{(0,2)(1,1)(2,0)(2,2)} S
{(0,2)(1,0)(2,0)(2,2)} A
{(0,2)(1,0)(1,1)(2,0)(2,2)} A
{(0,1)(0,2)(2,0)(2,2)} A
{(0,1)(0,2)(1,1)(2,0)(2,2)} A
{(0,1)(0,2)(1,0)(2,0)(2,2)} S
{(0,1)(0,2)(1,0)(1,1)(2,0)(2,2)} S
{(0,0)(0,2)(2,0)(2,2)} S
{(0,0)(0,2)(1,1)(2,0)(2,2)} RST
{(0,0)(0,2)(1,0)(2,0)(2,2)} A
{(0,0)(0,2)(1,0)(1,1)(2,0)(2,2)} RTA
{(0,0)(0,1)(0,2)(2,0)(2,2)} A
{(0,0)(0,1)(0,2)(1,1)(2,0)(2,2)} RTA
{(0,0)(0,1)(0,2)(1,0)(2,0)(2,2)} S
{(0,0)(0,1)(0,2)(1,0)(1,1)(2,0)(2,2)} RST
{(0,2)(2,0)(2,1)(2,2)} A
{(0,2)(1,1)(2,0)(2,1)(2,2)} A
{(0,2)(1,0)(2,0)(2,1)(2,2)} A
{(0,2)(1,0)(1,1)(2,0)(2,1)(2,2)} A
{(0,1)(0,2)(2,0)(2,1)(2,2)} A
{(0,1)(0,2)(1,1)(2,0)(2,1)(2,2)} A
{(0,1)(0,2)(1,0)(2,0)(2,1)(2,2)} A
{(0,1)(0,2)(1,0)(1,1)(2,0)(2,1)(2,2)} A
{(0,0)(0,2)(2,0)(2,1)(2,2)} A
{(0,0)(0,2)(1,1)(2,0)(2,1)(2,2)} RTA
{(0,0)(0,2)(1,0)(2,0)(2,1)(2,2)} A
{(0,0)(0,2)(1,0)(1,1)(2,0)(2,1)(2,2)} RTA
{(0,0)(0,1)(0,2)(2,0)(2,1)(2,2)} A
{(0,0)(0,1)(0,2)(1,1)(2,0)(2,1)(2,2)} RTA
{(0,0)(0,1)(0,2)(1,0)(2,0)(2,1)(2,2)} A
{(0,0)(0,1)(0,2)(1,0)(1,1)(2,0)(2,1)(2,2)} RTA
{(0,2)(1,2)(2,0)(2,2)} A
{(0,2)(1,1)(1,2)(2,0)(2,2)} A
{(0,2)(1,0)(1,2)(2,0)(2,2)} A
{(0,2)(1,0)(1,1)(1,2)(2,0)(2,2)} A
{(0,1)(0,2)(1,2)(2,0)(2,2)} A
{(0,1)(0,2)(1,1)(1,2)(2,0)(2,2)} A
{(0,1)(0,2)(1,0)(1,2)(2,0)(2,2)} A
{(0,1)(0,2)(1,0)(1,1)(1,2)(2,0)(2,2)} A
{(0,0)(0,2)(1,2)(2,0)(2,2)} A
{(0,0)(0,2)(1,1)(1,2)(2,0)(2,2)} RTA
{(0,0)(0,2)(1,0)(1,2)(2,0)(2,2)} A
{(0,0)(0,2)(1,0)(1,1)(1,2)(2,0)(2,2)} RTA
{(0,0)(0,1)(0,2)(1,2)(2,0)(2,2)} A
{(0,0)(0,1)(0,2)(1,1)(1,2)(2,0)(2,2)} RTA
{(0,0)(0,1)(0,2)(1,0)(1,2)(2,0)(2,2)} A
{(0,0)(0,1)(0,2)(1,0)(1,1)(1,2)(2,0)(2,2)} RTA
{(0,2)(1,2)(2,0)(2,1)(2,2)} S
{(0,2)(1,1)(1,2)(2,0)(2,1)(2,2)} S
{(0,2)(1,0)(1,2)(2,0)(2,1)(2,2)} A
{(0,2)(1,0)(1,1)(1,2)(2,0)(2,1)(2,2)} A
{(0,1)(0,2)(1,2)(2,0)(2,1)(2,2)} A
{(0,1)(0,2)(1,1)(1,2)(2,0)(2,1)(2,2)} A
{(0,1)(0,2)(1,0)(1,2)(2,0)(2,1)(2,2)} S
{(0,1)(0,2)(1,0)(1,1)(1,2)(2,0)(2,1)(2,2)} S
{(0,0)(0,2)(1,2)(2,0)(2,1)(2,2)} S
{(0,0)(0,2)(1,1)(1,2)(2,0)(2,1)(2,2)} RST
{(0,0)(0,2)(1,0)(1,2)(2,0)(2,1)(2,2)} A
{(0,0)(0,2)(1,0)(1,1)(1,2)(2,0)(2,1)(2,2)} RTA
{(0,0)(0,1)(0,2)(1,2)(2,0)(2,1)(2,2)} A
{(0,0)(0,1)(0,2)(1,1)(1,2)(2,0)(2,1)(2,2)} RTA
{(0,0)(0,1)(0,2)(1,0)(1,2)(2,0)(2,1)(2,2)} S
{(0,0)(0,1)(0,2)(1,0)(1,1)(1,2)(2,0)(2,1)(2,2)} RST
